title,bounty,coins,company,status,description,time
Need art people in discord,$45.00,"4,500",NFtalk,Open,"Bounty Description Problem Description Im building community on discord, need to funnel people who would be interesting in beautiful and affordable art. Looking for creative ways to get to new potential friends, community members, collectors and supporters! Acceptance Criteria This bounty would be accepted if you can get 200 active members inside my server. So That would be measured in course of few days to see median change in active online people, and also your invite link valid for 7 days have exact count of invitees so its possible to check like that. IM NOT LOOKING FOR BOTS , real people only. If we find good way to do this this bounty could be repeated. We have instagram, tik tok, and twitter channel, so it can be source channel as well.",due 3 weeks from now
AI Presentation Analyzer,$90.00,"9,000",flixr,Open,"Objective Develop a single-page application where users can upload a PDF or PPT file, make a payment, and then view an AI-powered analysis of the presentation slides, focusing on design and content optimization. Key Components Single Page Application (Frontend): Design: Title, file upload field, payment button. Technology: HTML, CSS for the layout and styling. Minimal JavaScript for handling the file upload and redirecting to the payment gateway. Payment Integration (Backend): Function: Process payments through a payment gateway upon file submission. Technology: Python with Flask or Django to handle the backend logic and integrate with the chosen payment gateway API. File Processing and Slide Extraction (Backend): Function: Extract each slide from the uploaded PDF or PPT file into separate images. Technology: Python with libraries like PyPDF2 or python-pptx to process the uploaded file and extract slides as images. AI Analysis (Backend): Function: Send th...",due 7 days from now
Open AI Vision Website Analyzer,$90.00,"9,000",flixr,Open,"Objective Develop a single-page website where users can submit a URL, make a payment, and then view an AI-powered analysis of the website's landing page, focusing on design and conversion optimization. Key Components Single Page Landing Page (Frontend): Design: Title, description, URL input field, and submission button. Technology: HTML, CSS for the layout and styling. Minimal JavaScript for handling the URL submission and redirecting to the Stripe checkout page. Stripe Integration (Backend): Function: Process payments through Stripe upon URL submission. Technology: Python with Flask or Django to handle the backend logic and Stripe API for payment processing. Backend URL Processing and Screenshot Capture (Backend): Function: After payment confirmation, capture sequential screenshots of the submitted URL. It should capture the first screenshot on the page in view, then scroll to the bottom of the current viewport, capture the next screenshot. Until it reaches the ...",due 4 days from now
WordPress Plugin - Security Plugin,$82.80,"8,280",wpupgrader,Open,"We would like to hire a freelancer who can build a WordPress security plugin for us. Features we desire: Malware scanner that can work without blocking access (background processing) Integrate CleanTalk for major contact forms like Contact Form 7, Gravity Forms, Elementor Pro etc Unrecognized Files detection Abandoned Plugin Detection (longer than 2 years not updated) Tamper Protection For WordPress Core Files & Plugins & Themes (checksums can be found on wordpress.org) Tamper protection for Critical Files (detects modifications to critical files such as wp-config.php and .htaccess) Should be able to be run in a plugin page For reference below a Github repo with a collection of malware can be found: https://github.com/stefanpejcic/wordpress-malware Acceptance Criteria I would like to see a Github repo being shared in the end, or a ZIP file.",due 1 month from now
Static Blog Page - Nuxt,$11.25,"1,125",lawtechusa,Open,"Need a developer who can work with me to modify this page on public repo to create a blog page. The goal is to create a minimalistic responsive blog page template which can be used over and over again with different content. The image and content will be generated by GPT/Claude/BARD. API keys will be provided. git-clone-template-1 to git-clone-template-2 and so on. https://alpine.nuxt.space Prompt, content and graphic design prompt will be provided. Acceptance Criteria Code commenting. ( use AI0 Code testing ( use AI) Image generation and content generation - use AI Create all code and demo on https://github.com/jurisgpt/alpine-landingpage",due 7 days from now
Create a cryptocurrency trading bot for Telegram,$9.00,900,SteveJackson10,Open,"The goal of the trading bot is to provide users with actionable trading signals or notifications to help them make buying and selling decisions. Some examples of basic features could include: Price breakout alerts - The bot scans the market and alerts users when the price of a cryptocurrency breaks out above or below a key support or resistance level. Volume spike notifications - The bot sends notifications when trading volume for a cryptocurrency sees a sudden spike, which could indicate increased interest. oversold/overbought, golden cross, etc. Daily market outlook - The bot provides a daily summary of the overall market outlook using basic technical analysis. For example, whether the market appears bullish, bearish, or neutral.",due 3 days from now
VPN Statistics in MacOS Swift App,$180.00,"18,000",narner,Open,"I need to figure out how to get Rx and Tx values for a VPN connection I need either some guidance based on my current implementation (https://stackoverflow.com/questions/77489237/incorrect-vpn-data-statistics-in-macos-swift-app) that will work, or, a POC using TunnelKit with WireGuard (https://github.com/khungrukcad/tunnelkit) that uses an alternative implementation.",due 2 days from now
Build a Personalized Social Platform Demo Using Weaviate and FirstBatch SDK,$150.03,"15,003",omerdemirtas,Open,"Revolutionize the social media experience with hyper-personalized recommendations! FirstBatch turns any UX into individually crafted, personalized ones without user data. This is possible through the power of embeddings and vector databases. The main value propositions of what FirstBatch is building: Real-time personalization that works on an individual level, without relying on user data. User embeddings for introducing users to AI Agents, personalized LLM experiences Custom algorithms suiting specific needs, easily done in the dashboard All above without the need for session management Problem Description Social platforms need to provide personalized feeds to engage users and drive engagement. Recommending relevant posts and optimizing user timelines can significantly impact platform growth and retention. Create a simple personalized social platform demo that improves user engagement by utilizing Weaviate for storing post vectors and integrating FirstBatch for personalized feeds...",due 2 weeks ago
Build a Personalized E-commerce Platform Demo Using Pinecone and FirstBatch SDK,$150.03,"15,003",omerdemirtas,Open,"Revolutionize the e-commerce experience with hyper-personalized recommendations! FirstBatch turns any UX into individually crafted, personalized ones without user data. This is possible through the power of embeddings and vector databases. The main value propositions of what FirstBatch is building: Real-time personalization that works on an individual level, without relying on user data. User embeddings for introducing users to AI Agents, personalized LLM experiences Custom algorithms suiting specific needs, easily done in the dashboard All above without the need for session management Problem Description E-commerce platforms need to provide personalized experiences to engage users and drive conversion. Recommending relevant products and optimizing customer journeys can significantly impact business metrics. Create a simple personalized e-commerce web app demo that improves user engagement by utilizing Pinecone to store product and user vectors needed for the e-commerce platform a...",due 2 weeks ago
Flutter Android App Proof of Concept using Webview,$67.50,"6,750",KinInteractive,Open,"We have a personal subscription management application for Android, written in flutter. We are looking to implement a Webview with the purpose of signing up a user to a Spotify account, then linking a virtual card generated by us to that account and signing up for Spotify premium. Please note, this should all happen automatically. What is also important for the user is that it is hidden from view, so either it fully happens in the background, or there is a loader that covers it. For this, please see this link; https://stackoverflow.com/questions/62858028/how-to-hide-flutter-webview-in-mobile-app Acceptance Criteria A flutter codebase + built APK file that can: take input of email, password, displayName, dateOfBirth, gender, plan, cardNumber, card expiry, cvv then run a full sign-up and premium enrollment as detailed above, within a webview in the background (so app should just show only its native screen OR only a loading state. This is a proof of concept, so ...",due 1 week ago
Custom Cypress Preprocessor using Angular's esbuild bundler,$63.00,"6,300",guzmanoj,Open,"Recently, the Angular team released a new experimental esbuild-based bundler for Angular apps (https://github.com/angular/angular-cli/blob/main/packages/angulardevkit/buildangular/src/builders/browser-esbuild/index.ts) On the other hand, we have Cypress preprocessors (https://docs.cypress.io/api/plugins/preprocessors-api) the default one uses webpack under the hood but there are also a couple of them which also uses esbuild: https://github.com/sod/cypress-esbuild-preprocessor https://github.com/bahmutov/cypress-esbuild-preprocessor The issue with those is that code imported from Angular in the Cypress spec files is not compiled correctly. That made me wonder, ""what if we can have a Cypress preprocessor that uses Angular's new esbuild bundler instead of directly using esbuild?"" My guess is that this preprocessor could easily compile the Cypress spec. files correctly. The requirements are: Build an esbuild Cypress preprocessor, using one of the already existing ones a...",due 2 weeks from now
Adding to edtech tool mvp,$63.00,"6,300",RizwaanMalik,Open,Making some additions to an MVP for a teacher-facing edtech tool,due 3 months ago
Incorporate FlashAttention2 with Stable Diffusion Huggingface Diffusers,$22.50,"2,250",RishiRao4,Open,Incorporate Flash Attention 2 (https://github.com/Dao-AILab/flash-attention) with Huggingface diffusers. Similar to https://github.com/labmlai/annotateddeeplearningpaperimplementations/blob/master/labmlnn/diffusion/stablediffusion/model/unet_attention.py#L192 and https://github.com/HazyResearch/diffusers Acceptance Criteria A working stable diffusion model using flash attention,due 2 months ago
.NET example app using Stytch for authentication,$18.00,"1,800",ChrisONeill1,Open,"I'd like a simple example app that demonstrates how you'd use Stytch to power an email magic links authentication flow within a .NET web application. I would like the app to start from https://dotnet.microsoft.com/en-us/learn/aspnet/hello-world-tutorial/intro with the addition of an email magic links login flow, a protected profile page, and session management. For an example of what this looks like using Stytch's Node SDK, you can look here: https://github.com/stytchauth/stytch-node-magic-links Acceptance Criteria The app must use Stytch's Email Magic Links to power login and Stytch's Session product to authenticate the user's session. The Stytch API interactions must be built in C#. Technical Details If you have any questions about how to use Stytch, feel free to email chris@stytch.com for help. Timelines / Milestones No strict timeline.",due 1 week ago
Improve GPT Article Tool - Already Assigned,$450.00,"45,000",shepherdindustr,Open,"scraper: Modify to consistently produce flowing articles - sc not contain broken html tags or insert random links. Help improve the polishing of the finished post - using GPT 3.5/4 to do more grammar correcting, flow, spell checking, etc. Attempt to have GPT generate extra H2 and H3’s so the user can remove more if they’d like and then have GPT prioritize which ones to use vs using all of them if it generates a lot. (This is how Byword.ai seems to work) edit-articles: Enable the user to be able to use GPT 3.5/4 to fix as many grammatical errors in the document as possible. This could be expanded to include specific custom refinements and ways to clean up an article like ‘Condense the article to be no more than 4 paragraphs’, ‘Add another paragraph to the article discussing __’, etc. Improve the stable diffusion prompts Fix the weird spacing - remove all extra breaks basically so Webflow css will apply the spacing between items Use GPT 3.5/4 to generate an accurate / relevant alt text f...",due 2 months ago
Add Interlinking w/ Vector DB to AI Tool - Already Assigned,$162.00,"16,200",shepherdindustr,Open,"Bounty 2: Interlinking Given a sitemap, this feature should be able to add 6-8 links to some article in the DB. Sitemap will be continually updated. UI-wise, the user should be able to upload a new sitemap, select how many links to add (1-8), and select an article from the DB for interlinking to be run on. This will be its own entirely new feature on a new page in the app accessible from the home/landing page. In general for both bounties, the main goal is content + keeping API costs low.",due 2 months ago
Build a simple SQL Injection Simulation and Defense App using Scala,$76.50,"7,650",AbhayBhargav1,Open,"Project Overview: Develop a web application in Scala using the Play Framework(slick) that simulates and defends against SQL injection attacks. This application will serve as a platform for both testing SQL injection vulnerabilities and showcasing how to protect against them. Project Objectives: SQL Injection Attack Simulation: Create a module for emulating SQL injection attacks on a basic music retrieval application and its associated database. Implement various types of SQL injection attacks (e.g., classic SQL injection, blind SQL injection with conditional errors/conditional responses,union attack) to test the application’s vulnerability. Populate the database with approx. 30 records of songs Defense Mechanisms: Implement security measures to defend against SQL injection attacks. Utilize prepared statements, parameterized queries, and input validation to prevent SQL injection vulnerabilities. Implement web application firewall rules to detect and block malicious SQL injection a...",due 2 weeks ago
