Timestamp,1.Which region of India are you from?,2.Which type of location do you live in?,3.Which tech are you currently using?,4.Can you send an email with no attachments and just paragraphs of text instantly?,5.Are one-on-one video calls a smooth experience?,6.Do you experience delays in video conference calls?,7.How long does it take you to download a song of 4 minutes?,8.How much data do you use each month?,9.What do you usually do with your phone? (Multiple choices),10.What do you think about the call drop rate? ,11.Which network are you likely to recommend to a tourist who is in town for a few days?,12.Which network do you use more often?,13-VI.Why do you use your current network?,14-VI.How much are you paying for your mobile bill & WiFi services per month currently?,"15-VI.If Airtel lowers its price a little, or if Jio provides higher quality services, will you switch?",16-VI.Rate the service quality,13-Jio.Why do you use your current network?,14-Jio.How much are you paying for your mobile bill & WiFi services per month currently?,"15-Jio.If VI lowers its price for services to the same level as Jio, will you switch to VI?",16-Jio.Rate the service quality,13-Airtel.Why do you use your current network?,14-Airtel.How much are you paying for your mobile bill & WiFi services per month currently?,"15-Airtel.If VI lowers its price for services to the same level as Airtel, will you switch to VI?","16-Airtel.If VI provides higher quality services with a higher price as compared to Airtel, will you switch to VI?",17-Airtel.Rate the service quality,18.How much support do you think these companies are obtaining from the government?,19.Do you think the telecommunications market in India is tilting towards a monopoly?
10/28/2021 18:56:57,West,Urban,4G,Yes,Yes,No,Less than 1 min,1GB to 10GB,"Social Media and Instant messaging, Online Meeting, Movies",3,Jio,Vodafone Idea (VI),Low price,Less than Rs. 1000,I will switch to Jio,9,,,,,,,,,,7,Yes
10/28/2021 19:14:06,North,Urban,4G,Yes,Yes,Yes,Less than 1 min,10GB to 50GB,"Social Media and Instant messaging, Online Shopping, Online Meeting, Movies, Others",9,Jio,Jio,,,,,High quality,Rs. 1000-3000,Yes,10,,,,,,8,Yes
10/28/2021 21:30:05,West,Urban,4G,No,Yes,No,1 min to 2 mins,10GB to 50GB,"Social Media and Instant messaging, Online Shopping, Filming/Video Production",10,Jio,Airtel,,,,,,,,,The only network that works in my bedroom ,Rs. 1000-3000,Yes,Yes,7,8,Yes
10/28/2021 23:06:31,East,Urban,4G,Yes,Yes,No,1 min to 2 mins,10GB to 50GB,"Social Media and Instant messaging, Online Reading, Online Meeting, Movies, Others",6,Airtel,Airtel,,,,,,,,,High quality,Less than Rs. 1000,No,Yes,7,7,No
10/29/2021 6:35:21,West,Urban,4G,Yes,No,No,Less than 1 min,More than 50GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Online Meeting",9,Jio,Airtel,,,,,,,,,High quality,Rs. 1000-3000,Maybe,Maybe,10,9,Yes
10/29/2021 13:43:02,North,Suburban,4G,Yes,Yes,No,Less than 1 min,More than 50GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Gaming, Online Meeting, Movies, Others",10,Jio,Jio,,,,,High quality,Less than Rs. 1000,No,10,,,,,,8,No
10/29/2021 20:00:31,North,Urban,4G,Yes,Yes,No,Less than 1 min,More than 50GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Gaming, Movies",4,Jio,Airtel,,,,,,,,,High quality,Less than Rs. 1000,No,Yes,8,3,Yes
10/29/2021 22:53:01,North,Urban,4G,Yes,No,Yes,2 mins to 5 mins,10GB to 50GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Online Meeting, Movies",5,Airtel,Vodafone Idea (VI),Others,Rs. 1000-3000,I will switch to Airtel,7,,,,,,,,,,7,Yes
10/31/2021 15:46:14,West,Urban,4G,No,Yes,No,5 mins to 10 mins,10GB to 50GB,"Social Media and Instant messaging, Online Shopping, Online Meeting, Others",7,Jio,Jio,,,,,Low price,Less than Rs. 1000,No,7,,,,,,7,Yes
10/31/2021 22:00:24,North,Urban,4G,Yes,No,Yes,Less than 1 min,More than 50GB,"Social Media and Instant messaging, Online Meeting, Movies",9,Airtel,Airtel,,,,,,,,,High quality,Rs. 1000-3000,Yes,Yes,9,5,Yes
11/2/2021 11:42:52,North,Urban,4G,Yes,Yes,No,Less than 1 min,More than 50GB,"Social Media and Instant messaging, Online Reading, Online Meeting, Filming/Video Production",10,Jio,Jio,,,,,High quality,Less than Rs. 1000,No,8,,,,,,8,No
11/3/2021 15:36:07,North,Urban,4G,Yes,Yes,No,Less than 1 min,1GB to 10GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Gaming, Online Meeting, Filming/Video Production, Movies",9,Airtel,Vodafone Idea (VI),Others,Rs. 1000-3000,I will switch to Airtel,5,,,,,,,,,,6,Yes
11/7/2021 11:46:31,West,Suburban,4G,Yes,Yes,No,1 min to 2 mins,More than 50GB,"Social Media and Instant messaging, Online Meeting",9,Airtel,Airtel,,,,,,,,,High quality,Less than Rs. 1000,No,No,8,9,No
11/12/2021 9:04:52,North,Suburban,4G,Yes,Yes,Yes,Less than 1 min,10GB to 50GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Others",9,Airtel,Airtel,,,,,,,,,High quality,Less than Rs. 1000,No,No,9,6,No
11/22/2021 10:16:50,North,Rural,4G,Yes,Yes,No,Less than 1 min,More than 50GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Online Meeting, Others",3,Airtel,Airtel,,,,,,,,,High quality,Less than Rs. 1000,Maybe,Maybe,8,6,Yes
11/22/2021 11:00:04,South,Rural,4G,Yes,Yes,Yes,2 mins to 5 mins,10GB to 50GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Online Meeting",2,Jio,Jio,,,,,High quality,Less than Rs. 1000,Maybe,8,,,,,,8,No
11/22/2021 11:02:51,South,Urban,4G,No,Yes,No,Less than 1 min,10GB to 50GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Gaming, Online Meeting, Movies, Others",9,Jio,Jio,,,,,High quality,Less than Rs. 1000,Maybe,9,,,,,,9,Yes
11/22/2021 11:08:12,South,Urban,4G,Yes,Yes,No,Less than 1 min,10GB to 50GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Gaming, Online Meeting, Movies",8,Jio,Jio,,,,,High quality,Less than Rs. 1000,Maybe,8,,,,,,10,Yes
11/22/2021 17:22:24,North,Urban,4G,Yes,Yes,Yes,1 min to 2 mins,1GB to 10GB,"Social Media and Instant messaging, Online Reading, Gaming, Online Meeting, Movies, Others",4,Others,Vodafone Idea (VI),Others,Less than Rs. 1000,I will not switch,5,,,,,,,,,,5,Yes
11/22/2021 17:28:37,West,Urban,4G,Yes,Yes,Yes,1 min to 2 mins,1GB to 10GB,"Social Media and Instant messaging, Online Reading, Online Meeting, Movies, Others",8,Jio,Vodafone Idea (VI),Others,Rs. 1000-3000,I will not switch,7,,,,,,,,,,5,No
11/22/2021 17:43:21,North,Urban,4G,Yes,Yes,No,Less than 1 min,More than 50GB,"Social Media and Instant messaging, Online Reading, Online Meeting",9,Airtel,Airtel,,,,,,,,,High quality,Rs. 1000-3000,No,No,9,6,No
11/22/2021 17:54:02,West,Suburban,4G,Yes,Yes,No,1 min to 2 mins,10GB to 50GB,"Social Media and Instant messaging, Online Shopping, Online Meeting, Movies",9,Jio,Jio,,,,,Convenience ,Rs. 1000-3000,Maybe,9,,,,,,10,Yes
11/22/2021 17:55:25,West,Urban,4G,Yes,Yes,Yes,1 min to 2 mins,10GB to 50GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Gaming, Online Meeting, Movies",8,Airtel,Airtel,,,,,,,,,High quality,Less than Rs. 1000,Yes,Yes,7,7,Yes
11/22/2021 17:58:24,North,Urban,4G,Yes,Yes,No,Less than 1 min,10GB to 50GB,"Social Media and Instant messaging, Online Reading, Movies",8,Jio,Airtel,,,,,,,,,Low price,Less than Rs. 1000,No,No,8,5,No
11/22/2021 18:02:43,South,Urban,4G,Yes,No,Yes,Less than 1 min,More than 50GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Online Meeting, Movies",3,Airtel,Vodafone Idea (VI),Others,Rs. 1000-3000,I will switch to Airtel,3,,,,,,,,,,7,No
11/22/2021 18:10:52,East,Urban,4G,Yes,Yes,Yes,Less than 1 min,More than 50GB,"Social Media and Instant messaging, Gaming, Online Meeting, Others",6,Vodafone Idea (VI),Vodafone Idea (VI),High quality,Rs. 1000-3000,I will not switch,7,,,,,,,,,,5,Yes
11/22/2021 18:13:34,West,Urban,4G,Yes,Yes,Yes,Less than 1 min,More than 50GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Gaming, Online Meeting, Filming/Video Production, Movies",8,Jio,Jio,,,,,High quality,Less than Rs. 1000,No,8,,,,,,8,No
11/22/2021 18:13:34,South,Urban,4G,No,Yes,Yes,Less than 1 min,100MB to 1GB,"Online Shopping, Others",6,Airtel,Jio,,,,,High quality,Less than Rs. 1000,Maybe,6,,,,,,6,Yes
11/22/2021 18:14:12,West,Suburban,4G,Yes,No,Yes,1 min to 2 mins,More than 50GB,"Social Media and Instant messaging, Online Meeting",6,Jio,Jio,,,,,Balance of high quality and low price,Less than Rs. 1000,Maybe,7,,,,,,7,Yes
11/22/2021 18:15:48,West,Urban,4G,Yes,Yes,No,1 min to 2 mins,10GB to 50GB,"Social Media and Instant messaging, Online Shopping, Online Reading, Movies",4,Jio,Jio,,,,,High quality,Less than Rs. 1000,No,8,,,,,,5,Yes
11/22/2021 18:16:16,West,Urban,4G,Yes,Yes,No,1 min to 2 mins,100MB to 1GB,"Social Media and Instant messaging, Gaming, Movies",10,Jio,Jio,,,,,Low price,Rs. 1000-3000,No,10,,,,,,10,Yes
11/22/2021 18:20:13,North,Rural,4G,Yes,No,Yes,1 min to 2 mins,10GB to 50GB,"Social Media and Instant messaging, Online Shopping, Gaming, Filming/Video Production, Movies, Others",7,Airtel,Airtel,,,,,,,,,High quality,Less than Rs. 1000,No,No,8,6,No
11/22/2021 18:33:39,North,Urban,4G,Yes,No,Yes,Less than 1 min,More than 50GB,"Social Media and Instant messaging, Online Shopping, Online Meeting, Others",7,Airtel,Airtel,,,,,,,,,High quality,Rs. 1000-3000,No,No,8,7,Yes
11/22/2021 18:52:49,West,Urban,4G,No,Yes,No,1 min to 2 mins,10GB to 50GB,"Social Media and Instant messaging, Online Shopping, Gaming, Movies",9,Jio,Jio,,,,,High quality,Less than Rs. 1000,Yes,9,,,,,,9,Yes
