Tweet,Actual_Sentiment,Predicted_Sentiment
Young Generation striking back to back wins at the #CWG2022. Kudos #JeremyLalrinnunga on winning the 2nd gold for India. Congratulations #BindiyaRaniDevi on winning silver. We are beaming with Pride 🇮🇳  https://t.co/hqedlK3yHt,positive,positive
"Congratulations @mirabai_chanu  #CWG2022 में भारत को पहला गोल्ड  भारत की स्टार वेटलिफ्टर ओलंपिक पदक विजेता #MirabaiChanu ने 49 किग्रा भार वर्ग में कुल 197 kg (Snatch - 88 kg, Clean &amp; Jerk - 109 kg) भार उठाकर स्वर्ण पदक जीता #Cheer4India #IndiaTaiyaarHai  https://t.co/cPUJgux3wR",positive,positive
FITYYY!!   Indian Captain Harmanpreet Kaur scores 1st ever Half-Century of the Commonwealth tournament  #CWG2022 #B2022 #CricketTwitter  https://t.co/5VWiEdjiFE,neutral,neutral
India IS shining at #CWG2022👏🏻👏🏻,neutral,neutral
"थोड़ी देर में शुरू होगी भारत और पाकिस्तान के बीच महामुकाबला, यहां देखें लाइव स्कोर अपडेट #CWG2022 #CommonwealthGames2022 #LiveScore #indvspak #IndiavsPakistan #Birmingham2022  #IndWvsPakW   https://t.co/6UbTSj6VIU",neutral,neutral
"IND-W vs PAK-W T20: पाकिस्तान को पीटकर भारतीय महिला टीम अंक तालिका में शीर्ष पर, स्मृति मंधाना ने जड़ा अर्धशतक  #INDvsPAK #INDvPAK #CWG2022 #CommonwealthGames2022 #CommonwealthGames  #SmritiMandhana    https://t.co/brxz76mU04",neutral,neutral
I #Cheer4India  #EkindiaTeamIndia #IndianContingent #WINatCWG22BirCGI #WINatCWG22BirCGI🇮🇳 #IndiaTaiyaarHai #CWG2022  #AzadiKaAmritMahotsav  #prideofbharat #indiaontherise   @CGI_Bghm  @YASMinistry @WeAreTeamIndia  @HCI_London @ddsportschannel  @Media_SAI,neutral,neutral
GOLD What a legend 🐐 #CWG2022 #MirabaiChanu,neutral,neutral
PV Sindhu takes the first game 21-7 against Pakistan's Mahoor Shahzad. She is one game away from giving India 3-0 lead against Pakistan in Mixed Team event.  #CWG2022 #B2022,positive,positive
"Won the Thomas Cup for India and now all set to take on the court in @birminghamcg22. Speaking to the young Indian shuttler @lakshya_sen in this segment, Healthy Athlete of the Day.  @BSV_Global @lalbabarice @meenu_agarwal @sharmisthagoop2 @iabhijitdesh #Birmingham2022 #CWG2022  https://t.co/2Pk4ogWMON",positive,positive
"#CWG2022 | Manika Batra shines as India seal 3-0 win over South Africa in women's table tennis Group 2 tie  Meanwhile, Kushagra Rawat misses out on final berth in men's 400m freestyle swimming | #TableTennis #Swimming   #B2022 Live:  https://t.co/eYVS425G9S",positive,positive
@narendramodi @mirabai_chanu Medal No. 3 For 🇮🇳 now  It's GOLD 🥇 FOR 🇮🇳 #MirabaiChanu wins gold in the women's 49 kg category 🏋️ in #CommonwealthGames Congratulations #India For Gold 🥇 #TeamIndia #Cheer4India  #CWG2022  #CWG2022India  #B2022  #weightlifting #India4CWG2022 #IndiaTaiyaarHai  https://t.co/tGx0qAqvma,positive,positive
आज #CommonwealthGames2022 की भारोत्तोलन प्रतिस्पर्धा में सुश्री @mirabai_chanu ने ऐतिहासिक जीत दर्ज करते हुए माँ भारती को स्वर्ण पदक से गौरवभूषित किया है।  #CWG2022 में भारत के लिए प्रथम स्वर्ण पदक प्राप्त करने की आपको ढेरों बधाई और शुभकामनाएं!   हमें आप पर गर्व है।  जय हिंद  https://t.co/ctoGuNaf6z,neutral,neutral
"Catch me live on @SonySportsNetwk as an expert commentator for @birminghamcg22 starting 28th July, tomorrow until 8th August! ✨  Looking forward to some great performances! 🔥  Let's go #TeamIndia! 🇮🇳 @WeAreTeamIndia  #CWG2022 #IndiaTaiyaarHai #TeamIndia #Sony #sports #Twitter  https://t.co/pbwNFK60v0",positive,positive
HERE COMES EUROPE #B2022 #CWG2022 #CommonwealthGames2022,neutral,neutral
"CWG 2022 Live Score: भारत-पाक महामुकाबले पर टिकी नजरें, निकहत जरीन से भी उम्मीद #Sports | #CWG2022   https://t.co/uFVt6L5xFr",neutral,neutral
Congratulations to 19 year old @raltejeremy clinches Gold in Men's 67 kg category event.  #CWG2022  #CWG2022India #weightlifting,positive,positive
"#CommonwealthGames2022 के पहले 03 दिनों में भारत को सभी 06 पदक #weightlifting से आए🇮🇳 #Cheer4India  🥇""Gold"" - Mirabai Chanu 🥇""Gold"" - Jeremy Lalrinnunga 🥇""Gold"" - Achinta Sheuli  🥈""Silver"" - Bindyarani Devi  🥈""Silver"" - Sanket Sargar 🥉""Bronze"" - Giriraj Poojary   #CWG2022  https://t.co/T1KII8R8Iw",neutral,neutral
"#CWG2022: Dropped by govt, #Pakistan badminton contingent finds last-minute sponsor to reach #Birmingham  https://t.co/6SzWcp6jJ7",neutral,neutral
#MirabaiChanu #goldmedal #CWG2022,neutral,neutral
Diver Laugher has six commonwealth games medals and an Olympic Gold medal from Rio 2016 🥇  Campbell became the first woman to win an Olympic medal in weightlifting for Team GB in 2020 🥈  More ⤵️  #BBCCWG2022 #CWG2022 #BringItHome,positive,positive
वह सिर्फ 19 साल के हैं. नाम है जेरेमी लेलरिनूंगा.  300 किलोग्राम वजन उठाकर #CommonwealthGames2022 में  भारत के लिए दूसरा गोल्ड मेडल जीत लिया.   #CWG2022  https://t.co/H5HsMsemCE,neutral,neutral
वेटलिफ्टर अचिंता शेउली को गोल्ड मिलने पर प्रधानमंत्री @narendramodi  ने दी बधाई #JanhitTimes  #CommonwealthGames2022 #AchintaSheuli #CWG2022 #CWG2022India #Weightlifting #GoldmedalIndia #TeamIndia  https://t.co/nSgDgDmWur,neutral,neutral
कॉमनवेल्थ गेम्स: भारतीय बॉक्सर शिव थापा ने PAK के सुलेमान को हराया #CWG2022 #ShivaThapa #boxing #India   Download #PublicVibe For more Updates:  https://t.co/B6AeZ5W1Um  https://t.co/cFfPsPyTfl,neutral,neutral
Well done ! @mirabai_chanu Always proud of you. #Gold for India #MirabaiChanu  #CWG2022  #CommonwealthGames2022,positive,positive
